id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P001,Leg 11 foot,Legs,WALNUT,20,20,0,30,40,22,"CONCEPT exterior, not cut list"
P002,Leg 11 walnut cheek,Legs,WALNUT,20,20,22,8,40,554,"CONCEPT exterior, not cut list"
P003,Leg 11 walnut cheek,Legs,WALNUT,42,20,22,8,40,554,"CONCEPT exterior, not cut list"
P004,Leg 11 maple core,Legs,MAPLE,28,20,22,14,40,74,"CONCEPT exterior, not cut list"
P005,Leg 11 maple core,Legs,MAPLE,28,20,108,14,40,24,"CONCEPT exterior, not cut list"
P006,Leg 11 maple core,Legs,MAPLE,28,20,144,14,40,242,"CONCEPT exterior, not cut list"
P007,Leg 11 maple core,Legs,MAPLE,28,20,398,14,40,24,"CONCEPT exterior, not cut list"
P008,Leg 11 maple core,Legs,MAPLE,28,20,434,14,40,142,"CONCEPT exterior, not cut list"
P009,Leg 12 foot,Legs,WALNUT,20,420,0,30,40,22,"CONCEPT exterior, not cut list"
P010,Leg 12 walnut cheek,Legs,WALNUT,20,420,22,8,40,554,"CONCEPT exterior, not cut list"
P011,Leg 12 walnut cheek,Legs,WALNUT,42,420,22,8,40,554,"CONCEPT exterior, not cut list"
P012,Leg 12 maple core,Legs,MAPLE,28,420,22,14,40,74,"CONCEPT exterior, not cut list"
P013,Leg 12 maple core,Legs,MAPLE,28,420,108,14,40,24,"CONCEPT exterior, not cut list"
P014,Leg 12 maple core,Legs,MAPLE,28,420,144,14,40,242,"CONCEPT exterior, not cut list"
P015,Leg 12 maple core,Legs,MAPLE,28,420,398,14,40,24,"CONCEPT exterior, not cut list"
P016,Leg 12 maple core,Legs,MAPLE,28,420,434,14,40,142,"CONCEPT exterior, not cut list"
P017,Leg 21 foot,Legs,WALNUT,550,20,0,30,40,22,"CONCEPT exterior, not cut list"
P018,Leg 21 walnut cheek,Legs,WALNUT,550,20,22,8,40,554,"CONCEPT exterior, not cut list"
P019,Leg 21 walnut cheek,Legs,WALNUT,572,20,22,8,40,554,"CONCEPT exterior, not cut list"
P020,Leg 21 maple core,Legs,MAPLE,558,20,22,14,40,74,"CONCEPT exterior, not cut list"
P021,Leg 21 maple core,Legs,MAPLE,558,20,108,14,40,24,"CONCEPT exterior, not cut list"
P022,Leg 21 maple core,Legs,MAPLE,558,20,144,14,40,242,"CONCEPT exterior, not cut list"
P023,Leg 21 maple core,Legs,MAPLE,558,20,398,14,40,24,"CONCEPT exterior, not cut list"
P024,Leg 21 maple core,Legs,MAPLE,558,20,434,14,40,142,"CONCEPT exterior, not cut list"
P025,Leg 22 foot,Legs,WALNUT,550,420,0,30,40,22,"CONCEPT exterior, not cut list"
P026,Leg 22 walnut cheek,Legs,WALNUT,550,420,22,8,40,554,"CONCEPT exterior, not cut list"
P027,Leg 22 walnut cheek,Legs,WALNUT,572,420,22,8,40,554,"CONCEPT exterior, not cut list"
P028,Leg 22 maple core,Legs,MAPLE,558,420,22,14,40,74,"CONCEPT exterior, not cut list"
P029,Leg 22 maple core,Legs,MAPLE,558,420,108,14,40,24,"CONCEPT exterior, not cut list"
P030,Leg 22 maple core,Legs,MAPLE,558,420,144,14,40,242,"CONCEPT exterior, not cut list"
P031,Leg 22 maple core,Legs,MAPLE,558,420,398,14,40,24,"CONCEPT exterior, not cut list"
P032,Leg 22 maple core,Legs,MAPLE,558,420,434,14,40,142,"CONCEPT exterior, not cut list"
P033,Lower front/back rail,Lower,WALNUT,50,20,36,500,40,24,"CONCEPT exterior, not cut list"
P034,Lower front/back rail,Lower,WALNUT,50,420,36,500,40,24,"CONCEPT exterior, not cut list"
P035,Lower split side rail,Lower,WALNUT,20,60,36,30,168.0,24,"CONCEPT exterior, not cut list"
P036,Lower split side rail,Lower,WALNUT,20,252.0,36,30,168.0,24,"CONCEPT exterior, not cut list"
P037,Lower split side rail,Lower,WALNUT,550,60,36,30,168.0,24,"CONCEPT exterior, not cut list"
P038,Lower split side rail,Lower,WALNUT,550,252.0,36,30,168.0,24,"CONCEPT exterior, not cut list"
P039,Lower projecting crossbar,Lower,WALNUT,0,228.0,36,600,24,24,"CONCEPT exterior, not cut list"
P040,Lower plain maple panel,Lower,MAPLE,51,61,42,498,166.0,18,"CONCEPT exterior, not cut list"
P041,Lower plain maple panel,Lower,MAPLE,51,253.0,42,498,166.0,18,"CONCEPT exterior, not cut list"
P042,Middle front/back rail,Middle,WALNUT,50,20,326,500,40,24,"CONCEPT exterior, not cut list"
P043,Middle front/back rail,Middle,WALNUT,50,420,326,500,40,24,"CONCEPT exterior, not cut list"
P044,Middle split side rail,Middle,WALNUT,20,60,326,30,168.0,24,"CONCEPT exterior, not cut list"
P045,Middle split side rail,Middle,WALNUT,20,252.0,326,30,168.0,24,"CONCEPT exterior, not cut list"
P046,Middle split side rail,Middle,WALNUT,550,60,326,30,168.0,24,"CONCEPT exterior, not cut list"
P047,Middle split side rail,Middle,WALNUT,550,252.0,326,30,168.0,24,"CONCEPT exterior, not cut list"
P048,Middle projecting crossbar,Middle,WALNUT,0,228.0,326,600,24,24,"CONCEPT exterior, not cut list"
P049,Middle plain maple panel,Middle,MAPLE,51,61,332,498,166.0,18,"CONCEPT exterior, not cut list"
P050,Middle plain maple panel,Middle,MAPLE,51,253.0,332,498,166.0,18,"CONCEPT exterior, not cut list"
P051,Through side bar with exposed ends,Side lines,WALNUT,28,0,96,14,480,12,"CONCEPT exterior, not cut list"
P052,Through side bar with exposed ends,Side lines,WALNUT,28,0,132,14,480,12,"CONCEPT exterior, not cut list"
P053,Through side bar with exposed ends,Side lines,WALNUT,28,0,386,14,480,12,"CONCEPT exterior, not cut list"
P054,Through side bar with exposed ends,Side lines,WALNUT,28,0,422,14,480,12,"CONCEPT exterior, not cut list"
P055,Through side bar with exposed ends,Side lines,WALNUT,558,0,96,14,480,12,"CONCEPT exterior, not cut list"
P056,Through side bar with exposed ends,Side lines,WALNUT,558,0,132,14,480,12,"CONCEPT exterior, not cut list"
P057,Through side bar with exposed ends,Side lines,WALNUT,558,0,386,14,480,12,"CONCEPT exterior, not cut list"
